Unnamed: 0,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,stats_xG.1,stats_xAG.1,stats_xG+xAG,stats_npxG.1,stats_npxG+xAG.1,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off.1,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%,Percentil_G-PK.1,Percentil_npxG.1,Percentil_PrgC,Percentil_xAG.1,Percentil_npxG+xAG.1,Percentil_Sh/90,Percentil_SoT/90,Percentil_SCA90,Percentil_GCA90,Percentil_Att,Percentil_1/3,Percentil_PPA,Percentil_CrsPA,Percentil_PrgP,Percentil_Att 3rd,Percentil_TklW,Percentil_Mid 3rd,Percentil_Att Pen,Percentil_Live,Percentil_PrgDist,Percentil_PrgR,Percentil_Succ%,Percentil_Won%,Distancia
7402,Jerónimo Domina,ar ARG,"MF,FW",Unión,Primera Division Argentina,18-337,2005,8,1,135,1.5,2,0,2,2,0,0,2,0,0.4,0.4,0.0,0.4,6,4,9,1.33,0.0,1.33,1.33,1.33,0.27,0.02,0.29,0.27,0.29,ar ARG,"MF,FW",Unión,Primera Division Argentina,18-337,2005,1.5,2,8,4,50.0,5.33,2.67,0.25,0.5,22.5,0,0,0,0.4,0.4,0.05,1.6,1.6,ar ARG,"MF,FW",Unión,Primera Division Argentina,18-337,2005,1.5,32,22.666666666666668,62.7,641,200,11,18,61.1,15,21,71.4,5,6,83.3,0,0.0,0.0,0.0,1,2.2222222222222223,0.4444444444444444,0.0,1.7777777777777777,ar ARG,"MF,FW",Unión,Primera Division Argentina,18-337,2005,1.5,51,49,2,0,0,0,2,1,0,0,0,0,32,0,5,ar ARG,"MF,FW",Unión,Primera Division Argentina,18-337,2005,1.5,6,4.0,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0,ar ARG,"MF,FW",Unión,Primera Division Argentina,18-337,2005,1.5,1,0.4444444444444444,0,1,0.0,0,3,0.0,3,1,0,1,0,1,1,0,ar ARG,"MF,FW",Unión,Primera Division Argentina,18-337,2005,1.5,77,1,10,12.444444444444445,17.77777777777778,4.444444444444445,34.22222222222222,7,3,42.9,4,57.1,37,216,58.22222222222222,6,2,5,5,3,46,4.0,ar ARG,"MF,FW",Unión,Primera Division Argentina,18-337,2005,8,135,17,10.7,1.5,1,45,0,7,13,5,1.75,2,1,1,0.67,0.43,1.2,1.7,-0.5,-0.34,-0.78,ar ARG,"MF,FW",Unión,Primera Division Argentina,18-337,2005,1.5,2,0,0,4,2,0,2,0,1,0,0,0,11,1,4,20.0,99.37694704049844,78.66043613707166,61.21495327102804,31.15264797507788,57.165109034267914,95.01557632398755,97.81931464174455,84.42367601246106,28.34890965732087,72.06349206349206,86.66666666666667,86.19047619047619,30.634920634920636,80.0,75.55555555555556,79.68253968253968,68.57142857142857,87.61904761904762,71.11111111111111,80.31746031746032,73.17460317460316,62.149532710280376,27.570093457943923,177.6825528441516
7403,Alexis Dominguez,ar ARG,"FW,MF",Barracas Central,Primera Division Argentina,27-324,1996,8,4,412,4.6,1,0,1,1,0,0,1,0,1.0,1.0,0.0,1.0,3,4,18,0.22,0.0,0.22,0.22,0.22,0.21,0.01,0.22,0.21,0.22,ar ARG,"FW,MF",Barracas Central,Primera Division Argentina,27-324,1996,4.6,1,9,2,22.2,1.97,0.44,0.11,0.5,16.4,0,0,0,1.0,1.0,0.11,0.0,0.0,ar ARG,"FW,MF",Barracas Central,Primera Division Argentina,27-324,1996,4.6,57,4.158790170132326,64.8,851,130,31,41,75.6,15,30,50.0,7,8,87.5,0,0.0,0.0,0.0,2,0.2362948960302458,0.0,0.0,0.18903591682419663,ar ARG,"FW,MF",Barracas Central,Primera Division Argentina,27-324,1996,4.6,88,79,9,0,0,2,0,0,0,0,0,0,57,0,2,ar ARG,"FW,MF",Barracas Central,Primera Division Argentina,27-324,1996,4.6,7,1.53,5,0,0,2,0,0,0,0.0,0,0,0,0,0,0,ar ARG,"FW,MF",Barracas Central,Primera Division Argentina,27-324,1996,4.6,4,0.09451795841209831,2,2,0.0,4,4,100.0,0,4,2,2,0,4,4,0,ar ARG,"FW,MF",Barracas Central,Primera Division Argentina,27-324,1996,4.6,135,5,11,3.733459357277883,2.173913043478261,0.7088846880907373,6.379962192816636,5,0,0.0,5,100.0,65,237,2.362948960302458,3,0,3,13,9,102,0.8506616257088848,ar ARG,"FW,MF",Barracas Central,Primera Division Argentina,27-324,1996,8,412,52,32.7,4.6,4,72,1,4,31,0,0.88,3,5,-2,-0.44,0.84,3.0,5.9,-2.9,-0.63,0.46,ar ARG,"FW,MF",Barracas Central,Primera Division Argentina,27-324,1996,4.6,1,0,0,9,2,1,0,0,2,0,0,0,7,19,19,50.0,75.70093457943925,67.44548286604362,44.85981308411215,26.323987538940806,42.05607476635514,53.58255451713395,50.155763239875384,26.479750778816197,28.34890965732087,25.07936507936508,43.17460317460318,15.555555555555555,30.634920634920636,21.746031746031747,17.142857142857142,44.761904761904766,34.76190476190476,48.57142857142857,24.126984126984127,7.936507936507936,28.57142857142857,11.993769470404985,74.9221183800623,159.2412581511831
7404,Benjamín Domínguez,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,20-365,2003,11,11,960,10.7,2,1,3,1,1,1,2,0,2.1,1.3,1.9,3.1,32,21,109,0.19,0.09,0.28,0.09,0.19,0.19,0.18,0.37,0.12,0.3,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,20-365,2003,10.7,2,28,14,50.0,2.62,1.31,0.04,0.07,22.6,0,1,1,2.1,1.3,0.05,-0.1,-0.3,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,20-365,2003,10.7,182,2.314612629924011,68.7,2640,759,108,137,78.8,52,69,75.4,13,25,52.0,1,1.9,2.1,-0.9,13,0.11354703467551754,0.0960782601100533,0.034937549130928475,0.18342213293737447,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,20-365,2003,10.7,265,249,12,0,1,1,37,4,8,2,3,0,182,4,9,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,20-365,2003,10.7,37,3.47,21,1,7,4,4,0,3,0.28,3,0,0,0,0,0,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,20-365,2003,10.7,10,0.061140710979124824,3,3,0.034937549130928475,2,17,11.8,15,10,0,10,4,14,2,0,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,20-365,2003,10.7,428,1,32,1.1616735086033716,2.367018953620404,0.4105162022884095,3.729583369726614,60,22,36.7,37,61.7,260,1929,7.494104288584157,32,23,14,33,22,292,0.9520482138178008,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,20-365,2003,11,960,87,76.2,10.7,11,87,6,0,0,0,1.27,13,12,1,0.09,-0.21,13.3,12.9,0.4,0.04,-0.24,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,20-365,2003,10.7,2,0,0,7,16,9,37,4,7,0,0,0,59,6,5,54.5,63.862928348909655,43.925233644859816,97.66355140186917,83.95638629283489,60.12461059190031,74.14330218068535,89.40809968847351,76.4797507788162,71.49532710280374,6.666666666666667,24.92063492063492,53.65079365079365,72.38095238095238,20.952380952380953,20.0,35.55555555555556,3.1746031746031744,31.746031746031743,7.936507936507936,31.428571428571427,31.746031746031743,50.467289719626166,82.398753894081,160.76039230256956
7409,Facundo Echevarría,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,22-049,2002,4,2,224,2.5,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.8,5,8,20,0.0,0.4,0.4,0.0,0.4,0.1,0.23,0.33,0.1,0.33,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,22-049,2002,2.5,0,7,0,0.0,2.81,0.0,0.0,0.0,22.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,22-049,2002,2.5,44,10.879999999999999,64.7,691,170,23,30,76.7,15,21,71.4,4,9,44.4,1,0.6,0.3,0.4,6,1.1199999999999999,0.16,0.0,1.28,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,22-049,2002,2.5,68,66,2,0,1,0,6,1,0,0,0,0,44,0,5,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,22-049,2002,2.5,9,3.62,8,0,1,0,0,0,2,0.8,1,0,1,0,0,0,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,22-049,2002,2.5,4,0.0,2,1,0.16,1,3,33.3,2,2,0,2,3,7,6,0,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,22-049,2002,2.5,106,5,15,7.040000000000001,7.840000000000001,0.96,16.96,4,2,50.0,2,50.0,58,298,23.2,5,4,1,7,3,65,3.2,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,22-049,2002,4,224,56,17.8,2.5,2,87,1,2,25,3,0.5,1,2,-1,-0.4,0.55,2.0,2.9,-0.9,-0.38,-0.05,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,22-049,2002,2.5,0,0,0,1,3,0,6,3,0,0,0,0,10,4,10,28.6,31.464174454828658,39.40809968847352,56.54205607476636,90.49844236760126,64.33021806853583,80.37383177570094,18.38006230529595,79.12772585669782,94.70404984423676,55.87301587301587,79.68253968253968,64.60317460317461,30.634920634920636,73.33333333333333,57.460317460317455,11.746031746031745,57.14285714285714,60.952380952380956,57.14285714285714,62.857142857142854,67.61904761904762,77.41433021806854,39.40809968847352,158.0914540048622
7410,Claudio Echeverri,ar ARG,"MF,FW",River Plate,Primera Division Argentina,18-260,2006,10,8,620,6.9,2,0,2,2,0,0,1,0,1.2,1.2,0.9,2.1,19,44,57,0.29,0.0,0.29,0.29,0.29,0.17,0.14,0.31,0.17,0.31,ar ARG,"MF,FW",River Plate,Primera Division Argentina,18-260,2006,6.9,2,16,7,43.8,2.32,1.02,0.13,0.29,22.1,2,0,0,1.2,1.2,0.07,0.8,0.8,ar ARG,"MF,FW",River Plate,Primera Division Argentina,18-260,2006,6.9,280,7.687460617517328,76.5,4633,1077,146,173,84.4,100,125,80.0,29,49,59.2,0,0.9,1.1,-0.9,16,0.6091157319890779,0.315059861373661,0.08401596303297626,0.9241755933627389,ar ARG,"MF,FW",River Plate,Primera Division Argentina,18-260,2006,6.9,366,336,29,10,2,2,30,2,16,6,7,0,280,1,14,ar ARG,"MF,FW",River Plate,Primera Division Argentina,18-260,2006,6.9,34,4.93,26,3,2,1,1,1,1,0.14,1,0,0,0,0,0,ar ARG,"MF,FW",River Plate,Primera Division Argentina,18-260,2006,6.9,10,0.16803192606595252,2,5,0.0630119722747322,5,8,62.5,3,7,0,7,1,11,3,0,ar ARG,"MF,FW",River Plate,Primera Division Argentina,18-260,2006,6.9,468,1,23,4.872925855912623,4.683889939088426,0.6721277042638101,9.829867674858223,36,17,47.2,17,47.2,345,1760,16.55114471749632,19,22,7,22,12,368,1.1972274732199117,ar ARG,"MF,FW",River Plate,Primera Division Argentina,18-260,2006,10,620,62,49.2,6.9,8,69,2,2,35,0,1.6,10,7,3,0.44,-0.27,10.6,6.6,3.9,0.57,-0.16,ar ARG,"MF,FW",River Plate,Primera Division Argentina,18-260,2006,6.9,1,0,0,7,19,2,30,1,8,0,0,0,37,2,4,33.3,78.50467289719626,55.9190031152648,89.8753894080997,73.83177570093457,62.30529595015576,65.57632398753894,78.50467289719626,92.5233644859813,60.43613707165109,44.12698412698413,69.2063492063492,80.31746031746032,83.4920634920635,66.98412698412697,44.761904761904766,57.14285714285714,44.44444444444444,46.98412698412698,42.857142857142854,56.82539682539682,40.95238095238095,70.40498442367601,46.573208722741434,136.7191138262774
7411,Marcos Echeverría,ar ARG,"FW,MF",Banfield,Primera Division Argentina,21-064,2003,4,1,84,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,ar ARG,"FW,MF",Banfield,Primera Division Argentina,21-064,2003,0.9,0,2,0,0.0,2.14,0.0,0.0,0.0,7.7,0,0,0,0.2,0.2,0.09,-0.2,-0.2,ar ARG,"FW,MF",Banfield,Primera Division Argentina,21-064,2003,0.9,11,29.629629629629626,45.8,162,30,7,13,53.8,3,7,42.9,0,1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.2345679012345678,ar ARG,"FW,MF",Banfield,Primera Division Argentina,21-064,2003,0.9,24,21,2,0,0,0,0,0,0,0,0,0,11,1,1,ar ARG,"FW,MF",Banfield,Primera Division Argentina,21-064,2003,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,ar ARG,"FW,MF",Banfield,Primera Division Argentina,21-064,2003,0.9,5,2.4691358024691357,1,4,0.0,2,4,50.0,2,1,0,1,0,5,2,0,ar ARG,"FW,MF",Banfield,Primera Division Argentina,21-064,2003,0.9,41,2,6,24.691358024691358,18.51851851851852,9.876543209876543,50.617283950617285,2,1,50.0,1,50.0,17,77,44.44444444444444,1,1,0,5,1,27,4.938271604938271,ar ARG,"FW,MF",Banfield,Primera Division Argentina,21-064,2003,4,84,21,6.7,0.9,1,55,0,3,10,7,0.5,0,1,-1,-1.07,-0.69,0.7,0.7,-0.1,-0.08,0.31,ar ARG,"FW,MF",Banfield,Primera Division Argentina,21-064,2003,0.9,0,0,0,5,0,1,0,0,2,0,0,0,1,4,4,50.0,31.464174454828658,64.17445482866043,25.54517133956386,12.305295950155763,36.60436137071651,59.345794392523366,18.38006230529595,7.632398753894081,28.34890965732087,77.46031746031747,8.571428571428571,15.555555555555555,30.634920634920636,72.6984126984127,76.66666666666667,90.95238095238095,80.63492063492063,94.28571428571428,78.73015873015873,76.66666666666667,78.73015873015873,77.41433021806854,74.9221183800623,209.04294330688822
7927,Julián Eseiza,ar ARG,FW,Godoy Cruz,Primera Division Argentina,22-215,2002,2,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,FW,Godoy Cruz,Primera Division Argentina,22-215,2002,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,ar ARG,FW,Godoy Cruz,Primera Division Argentina,22-215,2002,0.4,5,56.25,55.6,81,24,2,2,100.0,3,7,42.9,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,ar ARG,FW,Godoy Cruz,Primera Division Argentina,22-215,2002,0.4,9,9,0,0,0,0,0,0,0,0,0,0,5,0,0,ar ARG,FW,Godoy Cruz,Primera Division Argentina,22-215,2002,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,ar ARG,FW,Godoy Cruz,Primera Division Argentina,22-215,2002,0.4,0,0.0,0,0,0.0,0,3,0.0,3,0,0,0,1,1,2,0,ar ARG,FW,Godoy Cruz,Primera Division Argentina,22-215,2002,0.4,13,1,7,25.0,12.5,6.25,81.25,0,0,0.0,0,0.0,7,17,6.25,0,0,0,0,0,6,12.5,ar ARG,FW,Godoy Cruz,Primera Division Argentina,22-215,2002,2,39,20,3.3,0.4,0,0,0,2,20,2,1.0,0,1,-1,-2.31,-2.55,0.2,1.4,-1.2,-2.73,-2.97,ar ARG,FW,Godoy Cruz,Primera Division Argentina,22-215,2002,0.4,0,0,0,1,0,1,0,1,0,0,0,0,4,0,0,0.0,31.464174454828658,8.255451713395638,9.813084112149532,12.305295950155763,6.230529595015576,8.09968847352025,18.38006230529595,7.632398753894081,28.34890965732087,85.39682539682539,8.571428571428571,15.555555555555555,30.634920634920636,6.825396825396825,70.0,11.746031746031745,81.26984126984127,90.63492063492063,83.4920634920635,25.07936507936508,90.31746031746032,11.993769470404985,11.370716510903426,251.26957625331514
7930,Juan Esquivel,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,0,7,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,0,3,0,0.0,6.0,0.0,0.0,0.0,21.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,7,60.0,46.7,112,10,4,4,100.0,3,10,30.0,0,1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,15,13,2,0,0,0,6,0,2,1,0,0,7,0,0,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,1,2.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,2,4.0,0,2,0.0,1,2,50.0,1,0,0,0,0,2,0,0,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,26,0,2,32.0,68.0,8.0,104.0,7,3,42.9,4,57.1,20,129,188.0,4,1,1,2,2,20,28.0,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,1,45,45,3.6,0.5,0,0,0,1,45,0,0.0,0,0,0,0.0,0.07,0.7,0.2,0.5,0.94,1.28,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,0,0,0,1,0,1,6,0,1,0,0,0,2,0,0,0.0,31.464174454828658,46.41744548286604,51.71339563862928,12.305295950155763,26.012461059190027,96.72897196261682,18.38006230529595,38.78504672897196,28.34890965732087,86.03174603174604,8.571428571428571,15.555555555555555,30.634920634920636,6.825396825396825,90.7936507936508,93.80952380952381,83.4920634920635,92.22222222222223,86.82539682539682,93.4920634920635,93.33333333333333,62.149532710280376,11.370716510903426,244.3412438747088
8186,Juan Esquivel,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,24-027,2000,3,0,40,0.4,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.1,1,0,8,0.0,0.0,0.0,0.0,0.0,0.2,0.12,0.32,0.2,0.32,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,0,3,0,0.0,6.0,0.0,0.0,0.0,21.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,7,60.0,46.7,112,10,4,4,100.0,3,10,30.0,0,1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,15,13,2,0,0,0,6,0,2,1,0,0,7,0,0,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,1,2.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,2,4.0,0,2,0.0,1,2,50.0,1,0,0,0,0,2,0,0,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,26,0,2,32.0,68.0,8.0,104.0,7,3,42.9,4,57.1,20,129,188.0,4,1,1,2,2,20,28.0,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,1,45,45,3.6,0.5,0,0,0,1,45,0,0.0,0,0,0,0.0,0.07,0.7,0.2,0.5,0.94,1.28,ar ARG,FW,Tigre,Primera Division Argentina,24-027,2000,0.5,0,0,0,1,0,1,6,0,1,0,0,0,2,0,0,0.0,31.464174454828658,64.17445482866043,25.54517133956386,69.00311526479751,63.55140186915887,96.72897196261682,18.38006230529595,38.78504672897196,28.34890965732087,86.03174603174604,8.571428571428571,15.555555555555555,30.634920634920636,6.825396825396825,90.7936507936508,93.80952380952381,83.4920634920635,92.22222222222223,86.82539682539682,93.4920634920635,93.33333333333333,62.149532710280376,11.370716510903426,229.67579080543155
8443,Marcelo Estigarribia,ar ARG,FW,Atlé Tucumán,Primera Division Argentina,29-131,1995,13,4,660,7.3,3,2,5,3,0,1,0,0,2.1,1.3,1.2,2.5,6,19,39,0.41,0.27,0.68,0.41,0.68,0.28,0.17,0.45,0.18,0.35,ar ARG,FW,Atlé Tucumán,Primera Division Argentina,29-131,1995,7.3,3,14,4,28.6,1.91,0.55,0.21,0.75,13.1,0,0,1,2.1,1.3,0.09,0.9,1.7,ar ARG,FW,Atlé Tucumán,Primera Division Argentina,29-131,1995,7.3,120,4.015762807280916,56.1,1603,430,70,110,63.6,33,50,66.0,6,17,35.3,2,1.2,0.5,0.8,7,0.35653968849690376,0.03753049352598987,0.0,0.35653968849690376,ar ARG,FW,Atlé Tucumán,Primera Division Argentina,29-131,1995,7.3,214,207,5,0,1,1,5,2,0,0,0,0,120,2,8,ar ARG,FW,Atlé Tucumán,Primera Division Argentina,29-131,1995,7.3,19,2.59,14,0,0,3,2,0,3,0.41,2,0,0,1,0,0,ar ARG,FW,Atlé Tucumán,Primera Division Argentina,29-131,1995,7.3,7,0.056295740288984805,3,3,0.018765246762994934,3,5,60.0,2,12,3,9,2,9,14,0,ar ARG,FW,Atlé Tucumán,Primera Division Argentina,29-131,1995,7.3,315,18,40,2.420716832426346,2.758491274160255,0.6755488834678176,5.892287483580409,7,1,14.3,5,71.4,136,482,3.2839181835241136,6,6,3,32,15,229,0.7318446237568024,ar ARG,FW,Atlé Tucumán,Primera Division Argentina,29-131,1995,13,660,51,52.4,7.3,4,86,2,9,35,1,1.69,10,6,4,0.55,0.7,9.0,8.5,0.5,0.07,-0.37,ar ARG,FW,Atlé Tucumán,Primera Division Argentina,29-131,1995,7.3,0,0,0,14,10,4,5,2,3,0,0,0,16,54,27,66.7,87.85046728971963,58.09968847352025,61.21495327102804,81.30841121495327,66.97819314641744,52.80373831775701,55.9190031152648,56.54205607476636,79.90654205607477,22.53968253968254,54.6031746031746,38.25396825396825,30.634920634920636,39.36507936507937,24.444444444444443,34.6031746031746,20.317460317460316,47.3015873015873,20.952380952380953,11.428571428571429,23.49206349206349,25.70093457943925,91.1214953271028,140.28183019128764
8455,Gustavo Fernández,ar ARG,FW,Deportivo Riestra,Primera Division Argentina,34-045,1990,7,5,352,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,8,6,34,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.1,0.04,0.1,ar ARG,FW,Deportivo Riestra,Primera Division Argentina,34-045,1990,3.9,0,4,1,25.0,1.02,0.26,0.0,0.0,17.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,ar ARG,FW,Deportivo Riestra,Primera Division Argentina,34-045,1990,3.9,65,7.166337935568705,59.6,694,139,43,59,72.9,9,24,37.5,2,4,50.0,0,0.2,0.2,-0.2,3,0.19723865877712032,0.19723865877712032,0.06574621959237345,0.39447731755424065,ar ARG,FW,Deportivo Riestra,Primera Division Argentina,34-045,1990,3.9,109,107,2,0,0,0,5,0,0,0,0,0,65,0,5,ar ARG,FW,Deportivo Riestra,Primera Division Argentina,34-045,1990,3.9,6,1.53,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0,ar ARG,FW,Deportivo Riestra,Primera Division Argentina,34-045,1990,3.9,4,0.1314924391847469,0,2,0.1314924391847469,0,1,0.0,1,1,0,1,2,6,4,0,ar ARG,FW,Deportivo Riestra,Primera Division Argentina,34-045,1990,3.9,166,4,10,4.40499671268902,5.982905982905983,0.5259697567389876,10.91387245233399,8,2,25.0,6,75.0,101,621,10.585141354372125,8,4,2,26,14,145,2.2353714661406974,ar ARG,FW,Deportivo Riestra,Primera Division Argentina,34-045,1990,7,352,50,27.9,3.9,5,67,0,2,8,7,1.29,1,2,-1,-0.26,-0.35,2.3,4.9,-2.6,-0.65,-0.88,ar ARG,FW,Deportivo Riestra,Primera Division Argentina,34-045,1990,3.9,0,0,0,5,11,3,5,2,2,0,0,0,13,12,18,40.0,31.464174454828658,21.962616822429908,69.78193146417445,44.85981308411215,20.404984423676012,25.54517133956386,41.27725856697819,26.479750778816197,28.34890965732087,41.269841269841265,40.0,69.04761904761905,80.7936507936508,43.17460317460318,50.476190476190474,51.587301587301596,41.269841269841265,38.730158730158735,44.44444444444444,41.904761904761905,59.682539682539684,34.57943925233645,58.25545171339564,179.91675471923816
